CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
U74999MN2016PTC013478,NUNGLEPPAM SECURITY GUARDS AGENCYPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,22-06-2016,Manipur,100000,100000,74999,Real estate renting and business activities,"Khwai Lalambung RIMS Road,Near Nitananda Temple  ",ROC SHILLONG,swarnalata_ningombam@gmail.com,NA,NA
U74999MN2016PTC013480,LAMJINGBA MANAGEMENT SERVICES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,28-06-2016,Manipur,72000000,1000000,74999,Real estate renting and business activities,"Lsd - I, C - 4 -68/1, Lamphel,Qh - 2061  ",ROC SHILLONG,sanasamjackysingh@yahoo.com,31-03-2018,31-03-2018
U74999MN2016PTC013481,TECHNOID AI SOLUTION PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,29-06-2016,Manipur,100000,100000,74999,Real estate renting and business activities,Chingamakha   ,ROC SHILLONG,brajabidhusingh@gmail.com,NA,NA
U74999MN2016PTC013488,ASSURE ASSET ADVISORY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,29-08-2016,Manipur,2500000,2000000,74999,Real estate renting and business activities,"SUKHAM BUILDING, KWAKEITHEL AKHAMKWAKEITHEL BAZAR, NEAR TRAFFIC JUNCTION  ",ROC SHILLONG,maibamruhen2016@gmail.com,31-03-2019,31-03-2019
U74999MN2016PTC013489,TARET FOODS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,30-08-2016,Manipur,400000,400000,74999,Real estate renting and business activities,"Kairang Maning Leikai,P.O - Mantripukhri, P.S - Heingang,  ",ROC SHILLONG,contact@taretfoods.in,31-03-2019,31-03-2019
U74999MN2016PTC013491,TODAY\x1aS MEDICAL INDIA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,22-09-2016,Manipur,100000,100000,74999,Real estate renting and business activities,IED II PC/143   ,ROC SHILLONG,info.bebiinc@gmail.com,31-03-2019,31-03-2019
U74999MN2016PTC013493,LYS SALES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,03-10-2016,Manipur,4000000,100000,74999,Real estate renting and business activities,"C/O LAISHRAM YAIMA SINGHKWAKEITHEL MAKHA, THOKCHOM LEIKAI  ",ROC SHILLONG,leninmanipur@gmail.com,31-03-2018,31-03-2018
U74999MN2016PTC013497,ZIKDUI CONSTRUCTION PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,29-10-2016,Manipur,100000,100000,74999,Real estate renting and business activities,"Rigunlong,Tamenglong HQs-Ward-II ,  ",ROC SHILLONG,a.kamei@yahoo.com,NA,NA
U74999MN2016PTC013500,FUTURESURE FREEZONE CONSULTANT PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,21-11-2016,Manipur,600000,500000,74999,Real estate renting and business activities,"KOIRENGEI, IED-IVIMPHAL EAST  ",ROC SHILLONG,ratan.ningthoujam628@gmail.com,31-03-2018,31-03-2018
U74999MN2016PTC013503,JAMES KHALING & SONS INDUSTRIES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,06-12-2016,Manipur,100000,100000,74999,Real estate renting and business activities,"HOUSE NO: 04, KHANGSHIM VILLAGEMACHI SUB-DIVISION,  ",ROC SHILLONG,milankhaling@icloud.com,31-03-2018,31-03-2018
U74999MN2016PTC013505,7 SISTERS ENTERTAINMENT PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,13-12-2016,Manipur,100000,100000,74999,Real estate renting and business activities,"IED-IV,150-4-NC-20/4NAGARAM,STADIUM ROAD  ",ROC SHILLONG,7sistersent@gmail.com,NA,NA
U74999MN2016PTC013509,SUIGENERIS AGRONOMY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,29-12-2016,Manipur,16500000,14285720,74999,Real estate renting and business activities,"The Suigeneris House,Kwakeithel Lamdong Leikai,  ",ROC SHILLONG,rageshkeisham@thesuigeneris.in,31-03-2019,31-03-2019
U74999MN2017NPL013613,UKHRUL HILLS DEVELOPMENT FOUNDATION   ,ACTV,Private,Company limited by Shares,Non-govt company,20-12-2017,Manipur,100000,100000,74999,Real estate renting and business activities,"HUISHU VILLAGE, UKHRUL VIEWLANDJESSAMI JUNCTION  ",ROC SHILLONG,gs_achui@yahoo.com,NA,NA
U74999MN2017NPL013615,KOROU EDUCATION FOUNDATION   ,ACTV,Private,Company limited by Shares,Non-govt company,27-12-2017,Manipur,100000,100000,74999,Real estate renting and business activities,East Phungreitangnear old district hospital  ,ROC SHILLONG,ansary.shent@gmail.com,NA,NA
U74999MN2017OPC013554,PUKEI LANGEI VENTURES (OPC) PRIVATELIMITED  ,STOF,Private(One Person Company),Company limited by Shares,Non-govt company,28-07-2017,Manipur,100000,50000,74999,Real estate renting and business activities,"Kakching Wairi Sabal Leikai,Sabal Pareng,  ",ROC SHILLONG,indra4463@gmail.com,31-03-2018,31-03-2018
U74999MN2017OPC013596,HISCO RETAIL & MARKETING (OPC) PRIVATELIMITED  ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,24-10-2017,Manipur,100000,100000,74999,Real estate renting and business activities,"C/O S/O H. CHAOBA SINGH, YAISKULHIRUHANBA LEIKAI  ",ROC SHILLONG,hijampinky38@gmail.com,31-03-2018,31-03-2018
U74999MN2017PTC013510,THADDAEUS NUTRACEUTICALS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,05-01-2017,Manipur,100000,100000,74999,Real estate renting and business activities,KAKWA NAMEIRAKPAM LEIKAITHONGJU II  ,ROC SHILLONG,asem.robinson@gmail.com,31-03-2019,31-03-2019
U74999MN2017PTC013513,MAHUM CONSULTANTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,14-02-2017,Manipur,1000000,100000,74999,Real estate renting and business activities,Thangjing RoadOpp. SBI Moirang Branch  ,ROC SHILLONG,mahumconsultants@gmail.com,31-03-2018,31-03-2018
U74999MN2017PTC013517,IMPHAL GENERACION TECHNOTINE PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,27-02-2017,Manipur,100000,100000,74999,Real estate renting and business activities,"Uripok Sorbon Thingel,Next to IOC Petrol Pump  ",ROC SHILLONG,khpariyaimeitei@gmail.com,31-03-2018,31-03-2018
U74999MN2017PTC013522,KOMOL AND KUMARI TECHNOLOGIES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,03-04-2017,Manipur,100000,100000,74999,Real estate renting and business activities,GHARI AWANG LEIKAIIMPHAL WEST  ,ROC SHILLONG,shilan.heisnam@gmail.com,31-03-2019,31-03-2019
U74999MN2017PTC013525,MIRAQUE SOLUTIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,28-04-2017,Manipur,100000,100000,74999,Real estate renting and business activities,Thangmeiband Hijam Dewan LeikaiKhomdram Selungba Leirak  ,ROC SHILLONG,leichombam@gmail.com,NA,NA
U74999MN2017PTC013532,KHORJEI RESEARCH AND CONSULTING PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,16-05-2017,Manipur,100000,100000,74999,Real estate renting and business activities,"24 1, M I Road, Ningombam PukhriAchouba Manak, Ningombam Thonju Leikai,  ",ROC SHILLONG,ibomchameetei@gmail.com,31-03-2018,31-03-2018
U74999MN2017PTC013539,MEDILANE HEALTHTECH AND CONSULTANCYSERVICES PRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,14-06-2017,Manipur,1000000,500000,74999,Real estate renting and business activities,POROMPAT NEARJNIMS HOSPITAL IMPHAL EAST  ,ROC SHILLONG,medilane.in@gmail.com,31-03-2018,31-03-2018
U74999MN2017PTC013543,PIBAREL ENTERPRISES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,28-06-2017,Manipur,100000,100000,74999,Real estate renting and business activities,"SINGJAMEI MAKHA SOROKHAIBAM LEIKAI,P.O/P.S-SINGJAMEI NEAR DAOJI SCHOOL, IMPHAL WEST DISTRICT  ",ROC SHILLONG,LEOSINGH512345@GMAIL.COM,31-03-2019,31-03-2019
U74999MN2017PTC013545,MNS GOODS AND GROCER RETAIL CHAINPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,03-07-2017,Manipur,100000,100000,74999,Real estate renting and business activities,"Thangmeiband, Lourung Peral Lelkai,Opp. NCC OFFICERS MESS,  ",ROC SHILLONG,Shangkhubi@gmail.com,31-03-2018,31-03-2018
U74999MN2017PTC013546,TENIBARE CONSULTANTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,10-07-2017,Manipur,100000,100000,74999,Real estate renting and business activities,Top Khongnang MakhongPorompat  ,ROC SHILLONG,meghachandra71@gmail.com,31-03-2018,31-03-2018
U74999MN2017PTC013550,CYGEN CONSULTANCY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,20-07-2017,Manipur,100000,100000,74999,Real estate renting and business activities,"Haobam Marak, Keisham LeikaiBamon Ani Leirak  ",ROC SHILLONG,dr.tanushree@cygengroup.com,31-03-2019,31-03-2019
U74999MN2017PTC013551,NETWORKMASTER SOFTWARE SOLUTIONS PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,20-07-2017,Manipur,100000,100000,74999,Real estate renting and business activities,"CANCHIPUR NEAR PECHU LAMPAK,IMPHAL  ",ROC SHILLONG,csnishamunka@yahoo.com,31-03-2018,31-03-2018
U74999MN2017PTC013556,TINGPLIK INFRA AND ENERGY SERVICESPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,01-08-2017,Manipur,100000,100000,74999,Real estate renting and business activities,Neikanlong ThangmeibandPO Lamphel  ,ROC SHILLONG,wilsongangmei@gmail.com,NA,NA
U74999MN2017PTC013562,KONGBAM CONSTRUCTION PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,18-08-2017,Manipur,100000,100000,74999,Real estate renting and business activities,YAIRIPOK TOP CHINGTHA KONGBAM LEIRAKTOP CHINGTHA  ,ROC SHILLONG,KKISHOR7681KANG@GMAIL.COM,NA,NA
U74999MN2017PTC013564,NONGPOKTHONG VENTURES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,22-08-2017,Manipur,100000,100000,74999,Real estate renting and business activities,"Molrangkhom Makha, Loklaobung,Indo-Burma Road,  ",ROC SHILLONG,ronny.waikhom@gmail.com,NA,NA
U74999MN2017PTC013566,MAPOK COLD STORAGE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,25-08-2017,Manipur,100000,100000,74999,Real estate renting and business activities,"Revenue Village no.61, IrengbandThoubal Distt.  ",ROC SHILLONG,joy383883@gmail.com,NA,NA
U74999MN2017PTC013570,KHONGSAI CONSTRUCTION AND SUPPLIERPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,30-08-2017,Manipur,100000,100000,74999,Real estate renting and business activities,"LAMPHEL SUPER MARKETPO LAMPHEL P.S LAMPHEL,  ",ROC SHILLONG,bdave@legalwiz.in,NA,NA
U74999MN2017PTC013571,ZALEN CONSTRUCTION AND SUPPLIER PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,30-08-2017,Manipur,100000,100000,74999,Real estate renting and business activities,"LANGOL GAME VILLAGEPO LAMPHEL P.S LAMPHEL,  ",ROC SHILLONG,bdave@legalwiz.in,NA,NA
U74999MN2017PTC013573,UNUNI CONSULTANCY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,31-08-2017,Manipur,1000000,100000,74999,Real estate renting and business activities,C/o Salam Mani SinghNaranseina Awang  ,ROC SHILLONG,infoununi@mail.ru,NA,NA
U74999MN2017PTC013575,BLOW BRISAS MEDIA AND ENTERTAINMENTPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,05-09-2017,Manipur,65000,65000,74999,Real estate renting and business activities,"SAGOLBAND TERA AMUDONLEIRAK MACHIN, AKHAM LEIKAI  ",ROC SHILLONG,sbntsharma@gmail.com,NA,NA
U74999MN2017PTC013578,TANTHA ENTERTAINMENT PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,18-09-2017,Manipur,1000000,10000,74999,Real estate renting and business activities,"Uripok Haorongbam LeikaiRIMS Gate, Near MM Gas Booking Counter  ",ROC SHILLONG,priacrotchet19@gmail.com,31-03-2019,31-03-2019
U74999MN2017PTC013580,JENKAM PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,21-09-2017,Manipur,100000,100000,74999,Real estate renting and business activities,YAIRIPOK LAIMANAITOP- CHINGTHA IMPHAL EAST  ,ROC SHILLONG,ajeniljosh@gmail.com,NA,NA
U74999MN2017PTC013581,RANUNCULUS CONSULTANCY PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,22-09-2017,Manipur,100000,100000,74999,Real estate renting and business activities,"C/o Thounaojam Shantikumar Singh,Chingmeirong, P.O. Lamlong, P.S. LAMPHEL  ",ROC SHILLONG,manasvimudgal@gmail.com,31-03-2018,31-03-2018
U74999MN2017PTC013582,DANGMEI GAIDINGAM ORGANIC FARMINGPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,04-10-2017,Manipur,100000,100000,74999,Real estate renting and business activities,C/O GONMEI KAJAIGAIPANDON RAGAILONG  ,ROC SHILLONG,KAJAIGAI82@GMAIL.COM,31-03-2019,31-03-2019
U74999MN2017PTC013583,SANGAI ADVERTISING PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,05-10-2017,Manipur,1000000,200000,74999,Real estate renting and business activities,SANGAIPROU TIDDIM ROADNA  ,ROC SHILLONG,transasialtd@rediffmail.com,NA,NA
U74999MN2017PTC013586,BRAJKON ORGANICS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,09-10-2017,Manipur,1000000,1000000,74999,Real estate renting and business activities,"C/O W. BRAJABIDHU SINGH,11-B-2/17,KID WORLD COMPLEX,AIRPORT ROAD, GHARI  ",ROC SHILLONG,BRAJAWAHENGBAM@GMAIL.COM,31-03-2019,31-03-2019
U74999MN2017PTC013587,YOIHEN ANGOMCHA CRAFT PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,11-10-2017,Manipur,100000,50000,74999,Real estate renting and business activities,House No 22Sagolband Moirang Mayum Leirak  ,ROC SHILLONG,suziningthem@gmail.com,31-03-2019,31-03-2019
U74999MN2017PTC013589,WAKOKLOL BUSINESS CONSULTING PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,16-10-2017,Manipur,500000,200000,74999,Real estate renting and business activities,3543 DL-45DEULAHLAND  ,ROC SHILLONG,gunadhor@wakoklol.com,31-03-2019,31-03-2019
U74999MN2017PTC013590,BIGOPRI RISE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,16-10-2017,Manipur,100000,100000,74999,Real estate renting and business activities,C/o Bikram KshetrimayumPangei Bazar  ,ROC SHILLONG,bikramkshetrimayum121@gmail.com,NA,NA
U74999MN2017PTC013591,LUWANG & SONS ECOMMERCE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,17-10-2017,Manipur,100000,100000,74999,Real estate renting and business activities,"HOUSE NO 147, TOP MAYAI LEIKAI POROMPATD C ROAD, NEAR MOBILE TOWER, IMPHAL EAST  ",ROC SHILLONG,AMARTINSINGH@GMAIL.COM,31-03-2019,31-03-2019
U74999MN2017PTC013594,ARAMBAM BROS & CONSULTANTS PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,18-10-2017,Manipur,100000,100000,74999,Real estate renting and business activities,"HOUSE NO.152 BRAHMAPUR MANGE MAKHONGIMPHAL-, WANGKHEI SUB DIVISION MANIPUR  ",ROC SHILLONG,consults.abc@gmail.com,NA,NA
U74999MN2017PTC013595,MORKONS ECOM PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,23-10-2017,Manipur,100000,100000,74999,Real estate renting and business activities,"1782 ,  NS: 30/13 ,  SECOND STREET ,NEW LAMBULANE  ",ROC SHILLONG,HAOKIP.LALAM@YAHOO.CO.IN,NA,NA
U74999MN2017PTC013599,KANGLA BROADBAND PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,07-11-2017,Manipur,1000000,500000,74999,Real estate renting and business activities,"BRAMACHARIMAYUM SHARMA RISHIKESHKEISHAMPAT, LEIMAJAM LEIKAI,  ",ROC SHILLONG,brishisharma@gmail.com,31-03-2019,31-03-2019
U74999MN2017PTC013604,OOREP SPORTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,16-11-2017,Manipur,400000,100000,74999,Real estate renting and business activities,"IED-III, 9-E-25/13,Singjamei Thongam Leikai,  ",ROC SHILLONG,oorepsports@gmail.com,NA,NA
U74999MN2017PTC013605,KANGLEIPAK ENTERPRISES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,20-11-2017,Manipur,5000000,1000000,74999,Real estate renting and business activities,C/o Dr. Khumuckcham Jelen SinghThangmeiband Tarung Rd.  ,ROC SHILLONG,jskhumuckcham@gmail.com,31-03-2018,31-03-2018
U74999MN2017PTC013606,YAKAIROL ENGINEERING SERVICES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,21-11-2017,Manipur,1000000,300000,74999,Real estate renting and business activities,11B - 4/7SANGAIPROU MAMANG LEIKAI  ,ROC SHILLONG,sanrosthok@gmail.com,31-03-2019,31-03-2019
U74999MN2017PTC013608,AYAM INDUSTRIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,27-11-2017,Manipur,100000,100000,74999,Real estate renting and business activities,"IED-III 5-D-7/1, HOUSE NO-38 YUMNAMLEIKAI  ",ROC SHILLONG,ayamkhaba7@gmail.com,31-03-2019,31-03-2019
U74999MN2017PTC013612,TSM DEVELOPERS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,19-12-2017,Manipur,1000000,100000,74999,Real estate renting and business activities,"SAMUSHANG UKU, SANA LEIRAKLAMPHELPAT  ",ROC SHILLONG,TAYENJAMS73@GMAIL.COM,31-03-2018,31-03-2018
U74999MN2018NPL013639,SOUTH ASIAN RURAL AND AGRICULTURALMANAGEMENT FOUNDATION  ,ACTV,Private,Company limited by Shares,Non-govt company,14-03-2018,Manipur,10000000,1000020,74999,Real estate renting and business activities,"KOMBIREI HOUSE, HIJAGANG LANEIMPHAL MUNICIPAL COUNCIL  ",ROC SHILLONG,OUGRICPL@GMAIL.COM,NA,NA
U74999MN2018NPL013641,INCOTE FOUNDATION   ,ACTV,Private,Company limited by Shares,Non-govt company,16-03-2018,Manipur,1000000,750000,74999,Real estate renting and business activities,"I & B BUILDING NEAR KEISHAMTHONG HIGH SELANGBAM LEIKAI, LEIRAK ACHOUBA  ",ROC SHILLONG,caprashantrajesh@gmail.com,NA,NA
U74999MN2018NPL013645,PLACEMAKING FOUNDATION   ,ACTV,Private,Company limited by Shares,Non-govt company,22-03-2018,Manipur,1000000,100000,74999,Real estate renting and business activities,"CS DAG NO. 231/241HAOBAM MARAK CHINGTHAM LEIKAI, SINGJAMEI  ",ROC SHILLONG,caprashantrajesh@gmail.com,NA,NA
U74999MN2018NPL013715,SANAHANBI FOUNDATION   ,ACTV,Private,Company limited by Shares,Non-govt company,19-07-2018,Manipur,100000,100000,74999,Real estate renting and business activities,"Thoubal, Ningombam,Mamang, leikai, Thoubal Sub- Division  ",ROC SHILLONG,pcsvaibhavgarg@gmail.com,NA,NA
U74999MN2018OPC013684,SANAMAHI AGRO FOODS (OPC) PRIVATELIMITED  ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,07-06-2018,Manipur,100000,100000,74999,Real estate renting and business activities,"SAWOMBUNG BLOCK, OPPOSITE SAWOMBUNGSUB-DIVISION  ",ROC SHILLONG,luwangagroindustries@gmail.com,NA,NA
U74999MN2018OPC013686,KANAMJEM NETWORK (OPC) PRIVATE LIMITED   ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,11-06-2018,Manipur,50000,50000,74999,Real estate renting and business activities,"B. Aijalon, BijangChurachandpur  ",ROC SHILLONG,h.haokipssb@gmail.com,31-03-2019,31-03-2019
U74999MN2018OPC013696,BOK XPRESS (OPC) PRIVATE LIMITED   ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,20-06-2018,Manipur,100000,100000,74999,Real estate renting and business activities,"C/O Th.Ningthem Singh,Bashikhong BazarNear Water Reservior  ",ROC SHILLONG,thokchomkirankumar94@gmail.com,NA,NA
U74999MN2018OPC013757,SINTHA ENTERPRISES (OPC) PRIVATE LIMITED   ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,24-10-2018,Manipur,100000,100000,74999,Real estate renting and business activities,IED- III (87) 4- D- 13/7Chingamathak Nameirakpam Leikai  ,ROC SHILLONG,tongbram02@gmail.com,31-03-2019,31-03-2019
U74999MN2018OPC013779,DIMARKUS VENTURES (OPC) PRIVATE LIMITED   ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,13-12-2018,Manipur,100000,100000,74999,Real estate renting and business activities,"C/O Dr R.K Rajbihari,IED -III 4-EA-10/11385/357, Village No.26 Wangkheirakpam  ",ROC SHILLONG,dimarkus.info@gmail.com,31-03-2019,31-03-2019
U74999MN2018PTC013620,KHABA ENTERPRISE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,04-01-2018,Manipur,100000,100000,74999,Real estate renting and business activities,KHA IMPHAL KEISHAM LEIKAI   ,ROC SHILLONG,st.khaba@gmail.com,NA,NA
U74999MN2018PTC013621,CHINGSUBAM IT AND MANUFACTURING PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,09-01-2018,Manipur,1000000,500000,74999,Real estate renting and business activities,2407THANGMEIBAND YUMNAM LEIKAI  ,ROC SHILLONG,hellochingsubam@gmail.com,NA,NA
U74999MN2018PTC013624,ORCALO FOOD AND AGRO PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,12-01-2018,Manipur,1000000,1000000,74999,Real estate renting and business activities,3895SAGOLBAND KWAKEITHEL BAZAR  ,ROC SHILLONG,thbide0@gmail.com,NA,NA
U74999MN2018PTC013630,FITZROY SALAI VENTURES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,22-02-2018,Manipur,5000000,1000000,74999,Real estate renting and business activities,"SAGOLBAND, TERA LOUKRAKPAM LAIKAI IMPHALWest Imphal MN 795001 IN  ",ROC SHILLONG,roc@taxamicus.com,NA,NA
U74999MN2018PTC013633,LEIBAK INFORMATION TECHNOLOGY PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,27-02-2018,Manipur,100000,100000,74999,Real estate renting and business activities,IED-IV UPS/UR/144 KhuraiSajor Leikai  ,ROC SHILLONG,lenin.nkl@gmail.com,31-03-2019,31-03-2019
U74999MN2018PTC013634,BSTB IMPHAL PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,12-03-2018,Manipur,100000,75000,74999,Real estate renting and business activities,BASHIKHONG KITANA PANUNGNEAR BASHIKHONG BAZAR  ,ROC SHILLONG,OKRAMTOLEN@GMAIL.COM,NA,NA
U74999MN2018PTC013638,BOBOI AND BOYAI ENTERPRISES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,14-03-2018,Manipur,1000000,1000000,74999,Real estate renting and business activities,C/o Thokchom Suresh SinghKwakeithel Thokchom Leikai  ,ROC SHILLONG,suresh.thokchom@gmail.com,NA,NA
U74999MN2018PTC013642,MIPAX REAL ESTATE CONSULTANT PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,19-03-2018,Manipur,1000000,1000000,74999,Real estate renting and business activities,SANGAIPROUOPPOSITE FCS GODOWN GATE OPPOSITE  ,ROC SHILLONG,RICKESKH@GMAIL.COM,31-03-2019,31-03-2019
U74999MN2018PTC013644,VARCAL AGROTECH PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,22-03-2018,Manipur,500000,500000,74999,Real estate renting and business activities,"C/o Calvin ShadokpamWangkhei Lourembam Leirak,  ",ROC SHILLONG,pcsvaibhavgarg@gmaiil.com,NA,NA
U74999MN2018PTC013646,WELHUEX INDIA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,26-03-2018,Manipur,100000,100000,74999,Real estate renting and business activities,"336, 9-L-94,THANGAL BAZAR,  ",ROC SHILLONG,khnepolean@gmail.com,31-03-2019,31-03-2019
U74999MN2018PTC013647,FIBERFI TECH PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,26-03-2018,Manipur,500000,500000,74999,Real estate renting and business activities,"11883, 15-B-6MOIRANG NINGTHOU LEIRAK  ",ROC SHILLONG,danielmong.17@gmail.com,31-03-2019,31-03-2019
U74999MN2018PTC013650,VARCAL AGROFOODS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,03-04-2018,Manipur,500000,500000,74999,Real estate renting and business activities,"C/o Calvin ShadokpamWangkhei Lourembam Leirak,  ",ROC SHILLONG,pcsvaibhavgarg@gmaiil.com,NA,NA
U74999MN2018PTC013653,NECATEL SOLUTIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,06-04-2018,Manipur,1000000,500000,74999,Real estate renting and business activities,"C/O TIKENDRA SINGH NUNGLEPPAMURIPOK BACHASPATI LEIKAI, LAMPHEL  ",ROC SHILLONG,tikenbiomed@gmail.com,31-03-2019,31-03-2019
U74999MN2018PTC013656,TECAFE SALAI VENTURES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,10-04-2018,Manipur,5000000,1000000,74999,Real estate renting and business activities,"C/O NARENGBAM SAMARJIT SINGH, SAGOLBANDTERA LOUKRAKPAM, LEIKAI, WEST IMPHAL  ",ROC SHILLONG,roc@taxamicus.com,NA,NA
U74999MN2018PTC013661,KOKTAI PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,20-04-2018,Manipur,500000,100000,74999,Real estate renting and business activities,"58, LANTHUNGCHING LANGOLIMPHAL  ",ROC SHILLONG,mca21.mis@gmail.com,NA,NA
U74999MN2018PTC013662,PUNSHIUKAL CONSULTANCY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,24-04-2018,Manipur,100000,10000,74999,Real estate renting and business activities,"Uripok Tourangbam Colony,Ward No. 4,House No. 54, Uripok Road  ",ROC SHILLONG,thangjam_rk@yahoo.com,NA,NA
U74999MN2018PTC013663,HARMAT ENTERPRISE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,25-04-2018,Manipur,1000000,400000,74999,Real estate renting and business activities,PISHUMTHONG NONGTHOMBAMLEIRAK NEAR IRABOT STATUE  ,ROC SHILLONG,NAMARJEETE@GMAIL.COM,31-03-2019,31-03-2019
